Site,d13C,d15N,Catchment
G11,-30.30894881,12.05325245,Gala
G12,-30.30439601,10.86307417,Gala
G03,-30.3010581,7.62974116,Gala
U31,-30.29766934,8.394859259,Upper Tweed
G09,-30.28552493,12.00599086,Gala
U02,-30.26012644,9.595705508,Upper Tweed
U18,-30.25593111,6.96247858,Upper Tweed
U19,-30.24802883,10.54952167,Upper Tweed
G01,-30.21520232,11.61023619,Gala
U31,-30.21263859,7.752466718,Upper Tweed
G01,-30.20760735,11.66198346,Gala
G14,-30.19411956,8.607403931,Gala
G01,-30.18980811,11.13265678,Gala
U33,-30.15353416,6.385881064,Upper Tweed
U28,-30.14685829,10.57760189,Upper Tweed
U30,-30.14659519,7.163974183,Upper Tweed
U28,-30.13666001,10.83617528,Upper Tweed
U37,-30.13015461,8.257660716,Upper Tweed
G13,-30.12595513,10.995275,Gala
G12,-30.12061787,11.53051958,Gala
U19,-30.12016976,10.18823628,Upper Tweed
U17,-30.1198407,8.147280441,Upper Tweed
U34,-30.10971045,6.574947973,Upper Tweed
U17,-30.10944693,8.168528336,Upper Tweed
G17,-30.10131614,8.529597071,Gala
G10,-30.0833828,9.947383314,Gala
U17,-30.07488933,8.549212788,Upper Tweed
U28,-30.06915641,10.3745789,Upper Tweed
G14,-30.0542005,7.98488741,Gala
U22,-30.05281856,12.12844968,Upper Tweed
U30,-30.04600622,7.273122134,Upper Tweed
G17,-30.03723711,8.385733484,Gala
U18,-30.01642141,7.169640064,Upper Tweed
G15,-29.99179534,8.748566681,Gala
G05,-29.98935383,8.31498172,Gala
U03,-29.98383575,6.432283107,Upper Tweed
U18,-29.97373817,6.87280554,Upper Tweed
G06,-29.96503629,8.379945328,Gala
G14,-29.93317267,8.431907188,Gala
U21,-29.93000369,10.04435689,Upper Tweed
G17,-29.92213876,8.537513338,Gala
U17,-29.91379977,7.536841564,Upper Tweed
G05,-29.91363105,9.019266868,Gala
G15,-29.9034424,8.350251602,Gala
U22,-29.8730542,12.14062706,Upper Tweed
U01,-29.87074485,9.698068345,Upper Tweed
G06,-29.86990042,7.206593451,Gala
U24,-29.86318999,9.929145105,Upper Tweed
U01,-29.84001782,10.19795851,Upper Tweed
U37,-29.80614495,8.396820093,Upper Tweed
U17,-29.79948362,7.91226832,Upper Tweed
G13,-29.79503064,10.66572488,Gala
U37,-29.78139181,7.811202594,Upper Tweed
G05,-29.77928449,9.129538515,Gala
U34,-29.77654321,6.986392507,Upper Tweed
U28,-29.76136615,10.67893457,Upper Tweed
U21,-29.75698077,9.848146407,Upper Tweed
U01,-29.75474169,10.25629475,Upper Tweed
U12,-29.74398497,7.855730896,Upper Tweed
G05,-29.74212019,8.671343731,Gala
U05,-29.71876423,7.87824747,Upper Tweed
G07,-29.71766294,7.194487152,Gala
G02,-29.7005933,7.639261289,Gala
